"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"4478","RT @kobebryant: 👀@jaytatum0 is the next subject of DETAIL.  Watch my analysis from Game 2 of the Eastern Conference Finals on the ESPN+ app…",FALSE,0,NA,2018-05-18 02:38:37,FALSE,NA,"997305426130751488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ev_21x",3241,TRUE,FALSE,NA,NA
"4479","Peace is when you have done what is right. Not what makes you win. #truth #MLB #NBAPlayoffs #WINNER #character… https://t.co/hsgaGcbcIr",FALSE,1,NA,2018-05-18 02:38:31,TRUE,NA,"997305400360828928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gratefulfuture",0,FALSE,FALSE,NA,NA
"4480","RT @NBA: Kevin Durant records a game-high 38 PTS for the @warriors on the road in Game 2. 

#DubNation #NBAPlayoffs https://t.co/mJDyKlYGBA",FALSE,0,NA,2018-05-18 02:37:42,FALSE,NA,"997305194495922176",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tec_EdgarCampos",398,TRUE,FALSE,NA,NA
"4481","#NBAPlayoffs
#beatthecavs
#letsgo https://t.co/mE4aC0jKr8",FALSE,0,NA,2018-05-18 02:37:22,FALSE,NA,"997305111310290944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ravin50125457",0,FALSE,FALSE,NA,NA
"4482","RT @kobebryant: 👀@jaytatum0 is the next subject of DETAIL.  Watch my analysis from Game 2 of the Eastern Conference Finals on the ESPN+ app…",FALSE,0,NA,2018-05-18 02:37:02,FALSE,NA,"997305027625615365",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KamKarleon",3241,TRUE,FALSE,NA,NA
"4483","RT @NBA: Jaylen Brown paces the @celtics Game 2 home victory with 23 PTS, 7 REB! 

#CUsRise #NBAPlayoffs https://t.co/B9P4W1lChY",FALSE,0,NA,2018-05-18 02:36:19,FALSE,NA,"997304849829154817",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","M_Turner101",333,TRUE,FALSE,NA,NA
"4484","RT @kobebryant: 👀@jaytatum0 is the next subject of DETAIL.  Watch my analysis from Game 2 of the Eastern Conference Finals on the ESPN+ app…",FALSE,0,NA,2018-05-18 02:35:25,FALSE,NA,"997304623479316480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","agharib_",3241,TRUE,FALSE,NA,NA
"4485","RT @NBA: 👀 the TOP PLAYS from the @celtics 2nd half comeback in Game 2, as they take a 2-0 series lead! 

#CUsRise #NBAPlayoffs https://t.c…",FALSE,0,NA,2018-05-18 02:35:20,FALSE,NA,"997304598770700288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","M_Turner101",417,TRUE,FALSE,NA,NA
"4486","RT @kobebryant: 👀@jaytatum0 is the next subject of DETAIL.  Watch my analysis from Game 2 of the Eastern Conference Finals on the ESPN+ app…",FALSE,0,NA,2018-05-18 02:34:31,FALSE,NA,"997304393144807425",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pettypaulpierce",3241,TRUE,FALSE,NA,NA
"4487","Curry defending CP3 
#RocketsWarriors #NBAPlayoffs https://t.co/nGLCNn5NCe",FALSE,0,NA,2018-05-18 02:33:22,FALSE,NA,"997304105986031617",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Holaydiver",0,FALSE,FALSE,NA,NA
